time,x,y,z,vx,vy,vz
3.550000,91.332972,62.654641,0.000000,22.112065,-1.790014,0.000000
3.560000,91.553918,62.635780,0.000000,22.094536,-1.886112,0.000000
3.570000,91.774688,62.615959,0.000000,22.077027,-1.982107,0.000000
3.580000,91.995283,62.595179,0.000000,22.059536,-2.078001,0.000000
3.590000,92.215704,62.573441,0.000000,22.042065,-2.173792,0.000000
3.600000,92.435950,62.550746,0.000000,22.024613,-2.269482,0.000000
3.610000,92.656022,62.527095,0.000000,22.007180,-2.365070,0.000000
3.620000,92.875920,62.502490,0.000000,21.989766,-2.460556,0.000000
3.630000,93.095643,62.476930,0.000000,21.972371,-2.555941,0.000000
3.640000,93.315193,62.450418,0.000000,21.954995,-2.651224,0.000000
3.650000,93.534570,62.422954,0.000000,21.937637,-2.746406,0.000000
3.660000,93.753773,62.394539,0.000000,21.920299,-2.841487,0.000000
3.670000,93.972802,62.365174,0.000000,21.902979,-2.936467,0.000000
3.680000,94.191659,62.334861,0.000000,21.885678,-3.031346,0.000000
3.690000,94.410343,62.303600,0.000000,21.868396,-3.126124,0.000000
3.700000,94.628855,62.271392,0.000000,21.851132,-3.220801,0.000000
3.710000,94.847193,62.238238,0.000000,21.833887,-3.315377,0.000000
3.720000,95.065360,62.204139,0.000000,21.816660,-3.409853,0.000000
3.730000,95.283355,62.169097,0.000000,21.799452,-3.504229,0.000000
3.740000,95.501177,62.133112,0.000000,21.782263,-3.598504,0.000000
3.750000,95.718828,62.096185,0.000000,21.765091,-3.692679,0.000000
3.760000,95.936307,62.058318,0.000000,21.747939,-3.786754,0.000000
3.770000,96.153615,62.019511,0.000000,21.730804,-3.880728,0.000000
3.780000,96.370752,61.979764,0.000000,21.713688,-3.974603,0.000000
3.790000,96.587718,61.939081,0.000000,21.696589,-4.068378,0.000000
3.800000,96.804513,61.897460,0.000000,21.679509,-4.162053,0.000000
3.810000,97.021138,61.854904,0.000000,21.662448,-4.255629,0.000000
3.820000,97.237592,61.811413,0.000000,21.645404,-4.349105,0.000000
3.830000,97.453876,61.766988,0.000000,21.628378,-4.442482,0.000000
3.840000,97.669989,61.721630,0.000000,21.611370,-4.535759,0.000000
3.850000,97.885933,61.675341,0.000000,21.594381,-4.628937,0.000000
3.860000,98.101707,61.628121,0.000000,21.577409,-4.722016,0.000000
3.870000,98.317312,61.579971,0.000000,21.560455,-4.814996,0.000000
